date,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage
15/03/2013,7.8,8.5,7.1,7.8,7.8,7.8,7.8,7.8,1.178,1.178,1.178,1.178,1.178
18/03/2013,7.8,8.5,7.1,7.8,7.9,7.8,7.9,7.9,1.178,1.194,1.178,1.194,1.194
19/03/2013,7.9,8.6,7.2,7.9,7.9,7.9,7.9,7.9,1.194,1.194,1.194,1.194,1.194
20/03/2013,7.9,8.6,7.2,7.2,7.7,7.2,7.7,7.7,1.089,1.163,1.089,1.163,1.163
21/03/2013,7.7,8.4,7.0,7.9,7.9,7.9,7.9,7.9,1.194,1.194,1.194,1.194,1.194
22/03/2013,7.9,8.6,7.2,7.9,7.9,7.9,7.9,7.9,1.194,1.194,1.194,1.194,1.194
25/03/2013,7.9,8.6,7.2,7.9,7.9,7.9,7.9,7.9,1.194,1.194,1.194,1.194,1.194
26/03/2013,7.9,8.6,7.2,7.9,7.9,7.9,7.9,7.9,1.194,1.194,1.194,1.194,1.194
27/03/2013,7.9,8.6,7.2,7.9,7.9,7.9,7.9,7.9,1.194,1.194,1.194,1.194,1.194
28/03/2013,7.9,8.6,7.2,7.9,7.9,7.9,7.9,7.9,1.194,1.194,1.194,1.194,1.194
29/03/2013,7.9,8.6,7.2,7.9,7.9,7.9,7.9,7.9,1.194,1.194,1.194,1.194,1.194
01/04/2013,7.9,8.6,7.2,7.6,7.6,7.6,7.6,7.6,1.149,1.149,1.149,1.149,1.149
02/04/2013,7.6,8.3,6.9,7.6,7.6,7.6,7.6,7.6,1.149,1.149,1.149,1.149,1.149
03/04/2013,7.6,8.3,6.9,7.6,7.6,7.6,7.6,7.6,1.149,1.149,1.149,1.149,1.149
04/04/2013,7.6,8.3,6.9,7.6,8.1,7.6,8.1,8.1,1.149,1.224,1.149,1.224,1.224
05/04/2013,8.1,8.9,7.3,8.1,8.1,8.1,8.1,8.1,1.224,1.224,1.224,1.224,1.224
08/04/2013,8.1,8.9,7.3,8.0,8.4,8.0,8.4,8.4,1.21,1.269,1.21,1.269,1.269
